Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.824,108.712,,,,,83.312,403.352,405.384,169.672,,,,113.792,376.936,2263.648,2133.6,2590.8,3088.64,3312.16,3108.96,3136.392,3616.96,3402.584,3657.6,10800,12000,14100,15800,16000,14600,13800,16100,30200,37200,40600,49400,48500,41200,47800,48200,67300,57200,59800,59600,68583,70400,78100,65800,81200,86600,87900,71100,74100,89100,98200,102100,123000,143000,133000,150000,150000,201400,219300,202800,305200,552300,720000,869300,215700,129600,204000,355000,651600,1036200,,,,
SouthernRhodesia,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.8,,,,,,,,,,,,,,,,,,,1727.2,2844.8,4064,5994.4,8331.2,7010.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64,73.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048,2.032,,2.032,,,,,,,,,,,1500,1500,1500,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,770,720,700,720,,,,,,,,,
Venezuela,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.264,1274.064,1253.744,1317.752,1322.832,1219.2,1204.976,1832.864,1320.8,1524,1524,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472,10600,17000,18800,19000,18500,18200,17200,11900,11400,12063,13400,8100,,2500,2581,,,,,,,,
Iran,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.592,26.416,12.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SouthKorea,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32,6.096,,284.48,264.16,254,18.288,1.016,,,,,103,222,384,399,326,9364,15239,36781,29528,28762,47114,29247,19634,13900,11894,28158,12745,8510,10349,18049,15818,13707,14005,10000,9845,15075,15003,18133,20685,9374,20200,27176,24234,19537,16973,22560,64705,91367,80645,137350,184330,319354,317621,315633,363352,418292,300506,339377,344966,323325,,,,
Rhodesia,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.144,11.176,,,,,,,,11000,11600,12000,11800,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.696,,,,1503.68,4003.04,4000,4000,4600,6000,6000,6500,7000,7500,8000,8000,8500,8800,9000,9000,9000,7200,7500,7700,8000,8000,8843,4000,200,,,,,,,,,,,,,700,90,2197,1349,550,1954,914,750,2151,4791,6280,3952,5323,4204,2800,,,,
