Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
hungary,HUN,0,0,59050.7939,0,128614.6572,0,0,0,0,0,0,0,0,3665.9084,339464.3371,395773.8281,389155.2784,31695.67975,85733.28295,111558.2258,72425.06005,11481.365,211079.3073,329091.4827,451577.3262,540718.4409,500194.3027,561711.0499,823416.0645,988549.5907,1001373.158,914445,35402.23015,100760.6625,283579.555,345457,345457,355617.5,406420,1207067.4,1394020.6,1259902,1240597.05,892701.53,917262.5067,1049011.678,937815.1661,1189916.476,1366056.872,1467882.355,1361507,1477294.026,1477336.7,1428566.3,1649049.15,1958944.4,1934559.2,2022006.559,2090006.722,2358007.182,2600007.939,2751008.21,0,0,0,0,0,2950008.714,2914009.047,2627007.436,2917008.427,2994008.76,2267783.974,2662208.488,2778686.428,3960810.816,4344948.84,2559100,2036700,1721100,1561300,1015100,1017600,10565777,742675,908862,935189,1046470,1000044,72000,665904,646726,535337,538258,546310,511337,267000,307000,277800,255000,93700,14000,,,,,
india,IND,1203.0032,522.2497,890.0598,762.0375,1384.87615,1211.1316,1708.9961,0,0,0,6652.07935,23600.8094,11176.55,5035.5438,4379.1755,14902.40535,9189.1562,2554.3497,0,4538.69535,1092.25375,18.2889,7757.54175,3702.4862,15393.1575,0,0,0,0,0,0,0,14115.98265,16668.30025,18834.51885,20994.64115,43223.78305,65432.60395,68123.10435,64524.25525,71985.1104,75946.68935,82474.8106,92689.16125,98302.8375,168855.3174,217991.4954,387381.2551,475906.6435,577078.8062,565115.8335,592216.9351,706154.75,745780.7,789001.4349,936293.1232,1013001.85,1370004.226,1517004.308,1684005.334,1292004.1,1113003.523,0,0,0,0,0,1785005.784,1955006.19,1954266.506,1849467.045,1994006.253,830473.5478,649882.8529,635310.6638,505805.9468,835087.4308,4853000,4735000,4898300,5223300,4809100,5564775,6035579,6112131,6609525,6854425,7992762,8688752,9867455,10924786,11696773,12595803,15732535,22624960,15554385,14048000,12722820,13599566,16611610,21666011,20201310,,,,,
indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101605,24558.94455,437823.0574,678140.2194,531144.2017,642318.3606,343755.1163,149552.3995,165727.9155,263676.1516,303301.0855,241467.3307,343905.4917,387254.2489,395679.3355,419857.2613,491768.2,492784.25,647807.0627,688261.0935,701226.9075,920168.4097,879302.8787,926637.6,1223004.144,1238004.09,1296004.289,1290003.497,1290003.497,0,0,0,0,0,1249126.79,1203383.203,700249.4674,777871.6232,1003235.577,0,0,0,0,0,1163820,1246322,803507,1320418,1342400,899035,841976,808749,1055647,1116323,1150776,1237006,1283485,1262705,1330827,2700000,9000000,16000000,18000000,15000000,27410375,40643852,31443325,57023774,2556429,,,,,
iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92537.7698,100000.6571,92509,98425,169350,296815,"100,000",192790,230420,244999,,,485130,283877,323600,391388,390000,437595,500000,520800,520000,322800,681235,818224,898437,899316,900000,,,,,
iraq,IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4928,250,3350,,,,,,,,,
italy,ITA,6949.782,3904.68015,5898.17025,8884.3412,7787.0072,7798.18375,2970.9302,37949.4675,0,0,98027.48795,140750.3584,195081.6,0,0,0,192774.1505,161187.1881,67369.19525,86553.2353,94817.786,131266.5477,170064.4169,262246.5692,386496.2756,360837.9649,483639.8,548667,499896.6,399307.65,355617.5,152407.5,25401.25,65446.82865,167719.3735,153147.1844,104852.2958,153433.7105,174274.9281,265546.6996,271385.939,284954.2707,327172.1642,275782.3873,261111.6414,299030.6274,294244.0158,313032.8124,327180.2926,309325.246,268615.1706,251791.4147,244432.1646,242164.341,242029.2063,216197.1511,228148.9473,206001.0894,191000.1272,83999.90165,49999.8205,32000.49475,0,0,0,0,0,23260.43265,19000.135,23810.1157,13118.22155,0,0,0,16557.5508,17125.52275,11760.77875,338,8700,97500,90100,23400,11200,,,,,,,,,,,,,,,,,,,,,,,,
jamaica,JAM,0,0,0,0,0,460.27065,1779.10355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345883.741,1172696.461,2066428.265,2687802.787,3134109.862,4669707.885,5813827.94,5207868.928,5836994.896,6770063.076,7615418.708,7013909.996,7936557.567,8651020.558,9061517.967,9395676.491,8525675.55,10444994,12010036.14,12194036.69,12341036.78,13601041.4,15328045.97,0,0,0,0,0,11978340.46,11606011.98,8157676.465,7725005.797,8735026.556,6218918.946,6953021.167,7702022.746,7316022.303,9395028.251,10965000,11610000,11367000,11184000,11571300,10857492,11828634,11987304,12646439,11688481,,,,,,14116393,14865351,14567738,14636102,7817500,8539853,10188916,9339291,9435214,9676697,,,,,
kazakhstan,KAZ,0,0,0,0,0,0,0,0,0,0,32622.31735,30481.5,79010.0801,131828.4233,100325.7931,49264.2003,103365.8147,94699.9242,62018.67595,67083.6852,86642.6477,84827.9824,216107.7387,292175.338,357819.2804,404570.789,318840.5542,282474.0926,231354.585,239787.8,203210,152712.315,0,55171.515,87583.51,133508.97,367810.1,200892.39,453358.4619,613441.2036,477558.7408,686691.2962,791019.3102,881420.3269,888242.0866,732572.05,814872.1,1025194.45,1232468.65,1332041.55,1285303.25,1293431.65,1573861.45,1886804.85,2130656.85,2071725.95,2127608.7,2099005.876,1959006.379,2197006.947,2167006.039,2370006.732,0,0,0,0,0,3138392.513,3249009.876,3668010.607,3500010.804,3347009.931,3249803.411,3458927.838,3394010.372,3033803.374,3252477.655,2952460,2542000,792000,250000,,60000,323000,470000,226000,500000,11126524,12369647,13119449,13444529,13296481,,,,,,,,,,,,,,,
malaya,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22145.8258,154612.3285,168279.2171,225727.7001,268688.3262,330855.3455,266564.7817,387874.0394,459211.9259,416459.5901,355027.175,451173.9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471273.4555,856704.9106,955541.1744,899599.4935,798657.9741,1073017.891,1139003.227,978002.9917,1076003.046,1143003.415,948003.0994,0,0,0,0,0,920358.411,700868.2419,589002.1529,501791.5333,680436.4924,491905.3668,566171.5094,482126.9016,360799.355,355175.5183,398180,376418,330593,68824,161919,184433,218680,279066,160271,222724,,,,,,4735,91806,156785,295176,263432,124274,188141,121873,208770,962799,,,,,
