,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
dominican republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18408,90216,105000,99269,161695,179987,29646,12000,120806,15000,,138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egypt,EGY,,,,,,,,,,,,,,,,,,,,25,,200,15,,,,,186,1,55,,,6,1,,383,212,61,843,1069,602,1398,1280,,,175000,242000,237000,415000,454000,481000,,,,,,,451,473,427,656,1302,1087,242,1409,1456,1435,1776000,1943000,2140000,2223000,1900756,2121717,1998813,2047578,2112026,2562351,2405000,2131000,2287000,2229000,3869000,2433000,2429901,2662447,2941798,,2500000,1843027,2618065,2900000,2237475,1599000,2200000,2184729,1810606,2000000,2314425,3320878,3930002,1421772,1500000,508915,565229,565000,500000,560000
federated malay states,MYS,,,,,,,,,,,154161,235118,,295610,458279,644635,,,,688179,766472,1135649,,449,1147,,,,,,,,,3843023,4371916,7160676,8967900,10711380,12719000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,2977,11692,24000,10280,6229,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16431,131905,181560,202912,206470,212000,224000,269000,280000,292000,360000,,,,,,,585,529,573,586,569,348,602,761,712,774,810000,871360,883800,865715,889500,898810,643000,648000,555550,35000,69014,32672,22836,11245,,,,,,,,,,,,,,,,,,,,,,,,,,
france,FRA,21565746,11070921,610286,1653673,2002020,1644982,9278239,13648257,,,22974121,28526294,35166783,38696700,44949611,48548774,,,,27163427,29728996,31695690,31539780,32775667,37252386,32651657,32471823,14195000,20563000,24601000,31430000,18603000,7590948,15975855,18422877,22696661,30932000,29542000,34652000,40157499,41776954,43133433,49516812,51857000,56854000,58533462,59975714,65906692,65554359,65254080,56969000,,,,,,,56805,55862,54246,54232,54260,49647,45181,36630,33454,31627,28981000,21598000,19411000,15930000,15012000,14459000,12436000,11225000,9869000,9187000,8023000,7490000,5707000,3600000,2400000,1496000,1459900,522700,21000,,31319,36587,21367,,,,,,,,,,,,,,,,,
french indo china,"VNM,LAO,KHM",,,,,,,,,,,,,,,,,,,,,405,1512,625,9859,32764,128240,132564,31930,51425,62000,80000,23000,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french west africa,"MRT,SEN,MLI,GIN,CIV,BFA,BEN,NER",,,,,,,,,,,,,,,,,,,,,,,,,,,10400,,,,,,,,,,,,,,392335,582765,640000,833500,1072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
germany,DEU,28148100,20175800,17424962,20990802,22103739,,,,,,5025642,4385469,5827710,4717649,6520865,6372357,,,,1318600,2550513,3625882,5947855,7450638,7700765,10942200,11856000,15962000,15221000,13068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84000,120000,110000,100000,,68720,104280,200940,604912,615165,461525,407002,419371,429170,412238,362106,416000,421711,455100,363699,390353,489091,447515,413404,455941,467690,514004,447300,448000,533
germany eastern,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760000,1338000,1447000,1638000,1729000,1455000,1482000,1574000,1616000,1617000,1616000,1635000,,,,,,,422,318,268,52,53,59,60,72,80,70,51000,41000,41000,40000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
