ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CIV,frenchwestafrica,,,,,,,,,,,,,,,,,,,,,,,,,,,10400.0,,,,,,,,,,,,,,392335.0,582765.0,640000.0,833500.0,1072000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,belgiancongo,,,,,,,,,,,104056.0,103504.0,,111687.0,,,,,,,69.0,,8400.0,,,,,,,,,,,,,,,,,,,3837.0,12288.0,20936.0,28092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,congorepublic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81899.0,343461.0,387990.0,583763.0,552993.0,107926.0,645000.0,665716.0,670000.0,684000.0,,,,,,,453.0,442.0,416.0,439.0,444.0,537.0,498.0,460.0,454.0,350.0,506269.0,433411.0,469850.0,456000.0,460000.0,455142.0,523082.0,610521.0,614727.0,529600.0,628257.0,607329.0,674219.0,544775.0,552121.0,734000.0,605716.0,754772.0,525825.0,587867.0,660109.0,636837.0,688650.0,625002.0,642546.0,607559.0,644015.0,623930.0,473273.0,280773.0,77048.0,174459.0,391503.0,710047.0,676180.0,902322.0,715786.0,712868.0,575542.0,666561.0
CUB,cuba,1582431.0,821110.0,827448.0,712716.0,553485.0,643532.0,200000.0,300000.0,,,367868.0,470000.0,900000.0,578092.0,414847.0,,,,,185248.0,275197.0,,224801.0,449612.0,488420.0,152099.0,164106.0,157807.0,189805.0,130749.0,46369.0,27922.0,,,36755.0,22588.0,11265.0,1279.0,,87536.0,196676.0,205000.0,246000.0,,,14699.0,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,202400.0,20000.0,168500.0,144400.0,,,,,,,,,,,,101500.0,,,,,18900.0,7800.0,3300.0,,,,,,,,,,,,
CZE,czechrepublicczechoslovakia,,,,,,,,,,,664334.0,1155068.0,1100000.0,1398728.0,1565407.0,1751076.0,,,,592704.0,422000.0,543819.0,719512.0,1072414.0,1787999.0,1400000.0,,,,,,,272000.0,1098000.0,1346000.0,1404500.0,1450000.0,1550000.0,1730000.0,1555000.0,1700000.0,1651000.0,1955000.0,2101000.0,2751000.0,2755000.0,2921000.0,3071000.0,3242000.0,3422000.0,3354000.0,,,,,,,1606.0,1609.0,1581.0,1672.0,1688.0,1773.0,1904.0,1994.0,2023.0,2012.0,1927000.0,1935000.0,1861000.0,1903000.0,1869000.0,1859000.0,1784000.0,1798000.0,1773000.0,1780000.0,1831000.0,1738000.0,1500000.0,53000.0,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,germanygermanyeasterngermanyfederalrepublicrussianzone,28148100.0,20175800.0,17424962.0,20990802.0,22103739.0,,,,,,5025642.0,4385469.0,5827710.0,4717649.0,6520865.0,6372357.0,,,,1318600.0,2550513.0,3625882.0,5947855.0,7450638.0,7700765.0,10942200.0,11856000.0,15962000.0,15221000.0,13068000.0,,,,,279000.0,300000.0,301000.0,895000.0,481000.0,15921000.0,15726000.0,14277000.0,17074000.0,18390000.0,19486000.0,13923806.0,14330289.0,14944555.0,14495578.0,12866510.0,10089152.0,,,,,,,5953.0,5338.0,5093.0,5121.0,4492.0,3347.0,316.0,2565.0,1681.0,1727.0,1996000.0,1613000.0,1345000.0,1016000.0,1013000.0,1034000.0,717000.0,247300.0,70000.0,102000.0,84000.0,120000.0,110000.0,100000.0,,68720.0,104280.0,200940.0,604912.0,615165.0,461525.0,407002.0,419371.0,429170.0,412238.0,362106.0,416000.0,421711.0,455100.0,363699.0,390353.0,489091.0,447515.0,413404.0,455941.0,467690.0,514004.0,447300.0,448000.0,533.0
DOM,dominicanrepublic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18408.0,90216.0,105000.0,99269.0,161695.0,179987.0,29646.0,12000.0,120806.0,15000.0,,138000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,algeria,1327320.0,1161964.0,896241.0,1026105.0,969458.0,887961.0,723757.0,,,,1425166.0,1786065.0,1772228.0,1604000.0,1998018.0,1974409.0,,,,459560.0,749426.0,1305488.0,1648171.0,2136248.0,2288000.0,,,,,,,,1183350.0,1644850.0,1533448.0,1841964.0,2497400.0,2532200.0,2778100.0,3051658.0,3334800.0,2880600.0,3541000.0,2502000.0,2746124.0,2297938.0,1896908.0,3384027.0,2821943.0,2029000.0,1945000.0,,,,,,,2863.0,3147.0,3669.0,3135.0,3820.0,3188.0,789.0,183.0,3050.0,50.0,3454000.0,3480000.0,3705000.0,3684000.0,3664000.0,3376000.0,3360000.0,3382000.0,3118000.0,2748300.0,2941000.0,2344000.0,2523000.0,2311000.0,2047000.0,2192000.0,2244000.0,1614200.0,1783000.0,1336000.0,1645000.0,1291000.0,1162000.0,1426200.0,1886100.0,1878800.0,2339637.0,1982101.0,2077000.0,1307000.0,1474279.0,1700000.0,1700000.0,1066700.0,911135.0,944000.0,826000.0,830000.0,830000.0,830000.0
ECU,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568.0,27060.0,7631.0,2616.0,408.0,,,,,
